	100_TF_25875	101_WF_25876	102_WF_25877	103_WF_25878	110_WM_25880	111_TM_25881	112_TM_25882	113_TF_25883	120_WM_37906	130_WF_37916	131_TF_37917	132_TF_37918	133_TF_37919	140_TM_37922	141_TM_37923	142_WM_37925	143_WM_37926	150_WF_37927	151_WM_37929	152_WF_37930	160_TM_37933	200_WF_25887	201_WF_25888	202_WF_25889	203_TM_25890	210_TM_25900	211_WF_37901	212_TF_37902	220_WF_37913	230_WM_37915
LOC102075435	22.08827985	22.47771399	22.73769244	22.10783849	21.70567518	21.65884001	21.99797856	22.30844243	21.42133235	21.50135121	21.66051024	21.28250474	21.04689403	22.09817846	22.12487835	22.06230863	22.10692056	22.11649648	22.10213174	22.06409384	22.18025573	21.82992696	22.18398809	22.14092802	22.31108358	22.09712407	21.75697499	21.79257013	22.00219023	21.91969627
LOC102062966	21.61278217	22.08568814	22.34864294	21.58598732	21.32242928	21.37808127	21.6838214	21.90936659	21.34681642	21.472479	21.56882105	21.06021157	20.94218948	21.71070632	21.93296987	21.69185706	21.73633002	21.60692441	21.67158959	21.66742121	21.73493411	21.33064253	21.82994616	21.64174736	21.95126422	21.69553337	21.40559318	21.88007822	21.86716278	21.73405319
LOC102062611	21.24403728	21.5179499	21.80182469	21.23009429	20.91962375	21.30966894	21.17876584	21.49731135	21.07168502	21.13912552	21.23145186	20.79195941	20.53083505	21.31013088	21.53923664	21.17311224	21.25311517	21.22546243	21.14361243	21.24590295	21.39004017	21.21457282	21.71814165	21.32363615	21.52552474	21.45055994	21.30356792	21.8233188	21.36061869	21.20654133
LOC102060532	18.25609055	19.31800165	19.54282996	19.27469119	19.56191337	20.44401361	20.48082554	20.7681575	18.63678492	19.85734432	19.31483308	19.30988873	18.76727428	19.92193441	20.71427145	19.32709176	19.87319616	18.29451489	18.05950456	19.44830539	19.70772282	19.37250958	20.87493453	19.78134468	19.84986827	19.60443842	19.21041177	20.23882941	18.98650923	18.57866921
LOC102075186	18.26916042	18.50994708	18.66777903	18.55971054	18.57867451	18.31844881	18.38881408	18.47466407	18.28811856	18.15222102	18.16562558	18.00700651	18.08938058	18.12638862	18.21384749	18.08398188	18.22720261	17.98267757	18.33932762	18.36074185	18.52539868	18.17937059	18.66779187	18.48960835	18.48990481	18.57893589	18.54583713	18.74362073	18.42747616	18.48909231
CA2	18.1487701	18.15593448	18.67397266	17.93994956	18.02190594	18.39625645	18.64303127	18.16734898	17.8661327	17.36922611	17.54127612	17.72616732	17.82108191	18.00675915	18.26438601	18.14448223	18.28233214	18.00504278	17.91481127	18.1826951	18.98370309	18.50603611	19.34405065	18.90013021	18.60464634	18.21935709	18.47052479	18.59812673	18.68408046	18.05647697
FTH1	16.86168558	17.48679778	17.579463	17.2989478	16.89664756	17.34070909	17.17730081	17.51538054	17.3620111	17.32979653	17.3858482	17.10953592	17.0584089	17.37922515	17.32025162	16.83491158	17.16052059	17.31611192	17.32383682	17.48878347	17.10080641	17.08509585	17.59854734	17.31340574	17.04447316	17.12774249	17.28638687	17.6691536	17.44776989	17.23376335
TFRC	16.65857988	16.49485143	16.51562237	16.57581231	17.06322886	17.11929502	16.86653899	17.07362649	16.42888622	16.19331475	16.80781453	16.36301879	17.03560524	16.99625089	16.64693895	16.56722554	16.09487732	16.90194091	17.1287776	16.77926975	17.06470905	16.78664778	17.3913356	17.43670502	17.26720313	16.46411193	17.23282926	16.88063272	17.12274357	16.79744933
SKP1	16.23637296	16.24885343	16.54058546	16.28474617	16.38541055	16.31248573	16.35758287	16.66792789	15.64024556	15.67111774	15.78585205	15.93304309	15.45987303	16.03897686	16.4946662	16.11511206	16.19253522	16.14954286	16.4436557	15.92341166	16.39564342	16.63693048	16.20350629	16.76801534	16.61862103	16.44154244	16.20734388	15.9816707	16.49019629	16.57604657
AK2	16.14202253	16.12931664	16.41018442	16.4436922	16.08271989	16.09910683	16.36877039	16.09978697	15.8199881	16.11820068	16.05575109	16.15251587	15.80068365	16.51204247	16.52738205	16.21770105	16.21780018	16.16784989	16.51262344	16.17280641	16.39226769	16.06564242	16.04214273	16.45442682	16.13582377	16.54899659	16.50884929	16.48787797	16.08991564	16.26825479
SPTAN1	15.77889862	15.84009014	15.81122844	15.67696564	15.83744638	15.91127169	15.86072982	15.85109207	15.71158899	15.79582978	15.99903765	15.8051784	16.21411328	15.64430403	15.76471079	15.76758961	15.83956122	16.08707672	15.79867905	15.55510723	15.75624662	15.33540012	15.69090999	15.79754619	15.47538603	15.44587924	15.73915639	15.76261277	15.94457987	15.81917378
EEF1A1	15.90964186	16.44976988	16.35305855	15.65376718	15.75397204	15.51054474	15.49262808	15.97787094	16.71350361	15.14389547	14.98436634	15.64167915	15.9189847	15.09876239	15.37621397	15.93082433	16.00861974	15.59653626	15.84551245	15.95823466	15.01540764	15.17900454	15.98673592	15.44337854	15.50498138	15.72581806	16.39929043	15.21623183	16.40075089	15.99321887
EPB41	15.90929429	15.69329936	15.34859922	15.83375612	15.67559787	15.72723274	15.57610026	15.59103822	15.65125036	15.43106095	15.51179568	15.65067939	15.81477336	15.8661505	15.63879951	15.67504457	15.92369006	16.01495024	15.76282307	15.67528464	16.07215946	16.03951386	15.95187697	16.28262634	15.71894712	15.75210076	15.88972324	15.92940407	15.82419926	15.83696851
DUSP22	15.79905018	15.74553432	15.54400042	15.6599476	15.59012264	15.69680772	15.39770476	15.90860489	15.54655826	15.50328035	15.55473033	15.40838624	15.43184877	15.77100522	15.48194372	15.75606138	15.7078945	16.09761951	15.64366661	15.9160881	16.06920055	16.13914245	15.82852343	16.38933969	15.94267264	15.90987741	15.83114514	15.90937172	16.25058307	15.64379723
ANK1	15.69379406	15.63574976	15.32671025	16.08530181	15.770814	15.56373992	15.78591078	15.55598536	15.69652334	15.84591537	15.94790128	15.93671553	15.98705151	15.54548557	15.71852303	15.52837556	15.68745803	15.82879081	15.6033194	15.69253292	16.21344718	15.38146031	15.77897501	15.81543473	15.21328659	15.63368161	15.75844618	16.05826399	15.74566418	15.62557222
BNIP3L	15.81469902	15.64918181	15.85277627	15.82729378	15.74792758	15.6816197	15.8187004	15.50732067	15.44131926	15.5240585	15.55091572	15.7730853	15.42662722	15.55986904	15.78236024	15.58091896	15.5692364	15.88031397	15.54766312	15.45035071	15.7658878	15.69977693	15.67880941	16.01588547	15.28248541	15.70173123	16.09413633	15.52466147	15.78561931	15.78154689
RHAG	15.52844524	15.71980321	15.88418507	15.23953926	15.88302242	16.10094278	15.83520796	15.87629343	15.83264547	15.56733302	15.63477089	15.24902225	15.39046446	15.59915256	15.62837118	15.77981979	15.60390489	15.32170037	15.3526793	15.2545972	15.52104529	15.54067999	15.75566478	15.50117366	15.64830306	15.432505	15.65512181	15.52586229	15.76506962	15.39004001
NCOA4	15.43234483	15.76640056	15.70292726	15.25880417	15.75231178	15.96557562	15.6348025	15.94048006	15.57336587	15.492595	15.47555926	15.28244342	15.11664625	15.58309457	15.67073886	15.73404594	15.40388034	15.11598834	15.00488546	15.07027014	15.52759676	15.43279127	15.65567889	15.43036834	15.50084718	15.54650437	15.31197431	15.67868658	15.38754587	15.35401394
PRDX1	15.25543502	15.66335664	15.99829021	15.33578092	15.27680184	15.78505999	15.3217302	15.378354	14.86044865	15.02491574	15.18511914	15.33109667	15.18270887	15.60837513	15.27933471	15.31459251	14.75920211	15.46482879	15.21458111	15.66024055	15.31223064	15.44564926	15.37695493	15.55293418	15.79307076	15.4919818	15.77830854	15.83873124	16.10350321	15.6300503
RFESD	14.71618694	14.58435337	15.22341148	14.55269372	15.48817108	16.59434961	15.44516141	15.38770496	15.09424695	14.93223423	14.72448077	14.41753288	13.64091579	14.8725045	14.68651287	15.59442318	15.25839547	14.22859506	14.50222461	14.25818622	16.5678917	15.93239451	16.18856918	16.00007106	16.0714461	15.52163753	15.27645351	15.64052224	15.15563231	15.04466551
DDX3X	15.47593168	15.40476351	15.32718964	15.47794014	15.25475377	15.37812352	15.28035823	15.19748974	15.3996239	15.22535974	15.29982779	15.40175037	15.17728247	15.4391032	15.41222922	15.14654773	15.38115175	15.63448913	15.38888591	15.23887018	15.53816258	15.58281618	15.31000631	15.87553505	15.13366799	15.53686496	15.6533711	15.45300342	15.35769775	15.49541365
UBC	15.88795617	15.72622108	15.99192734	15.70329002	15.24679253	15.47557662	15.2997788	15.06188175	14.66942157	15.03507891	14.86356039	14.74247567	14.96442486	15.16982865	15.09322398	14.95418681	15.09890717	15.49697596	14.98777923	15.63598374	14.92035786	15.33821949	15.87413722	16.08829737	15.37805667	15.58221175	15.3882556	15.557551	15.38384845	14.78150534
MAPK6	15.11673035	15.16744242	15.18281088	15.03143306	15.40549432	15.68083246	15.51114472	15.4959841	15.16616219	15.10807431	15.23216216	15.08315915	15.02959956	15.34740512	15.27428178	15.19147793	15.05840221	15.30152969	15.22332929	14.92323006	15.60720605	15.26752657	15.26496298	15.57431266	15.28050459	15.57828441	15.61142012	15.49629197	15.23749142	15.33167043
LOC102075359	15.06262173	14.90140129	15.079817	14.87606958	15.67067695	15.41820713	15.71084824	15.64405612	15.75221237	15.45671204	15.5337046	15.17037725	15.12392754	15.57293747	14.94762236	15.40574658	15.66083924	15.08453352	15.46165614	14.67115867	15.47735988	14.94424383	14.64329459	15.19991789	15.12677531	15.34367232	15.15678125	14.53616917	15.05648939	15.79874379
IPMK	15.32556785	15.14398883	15.42200307	15.38305484	14.46807271	14.47102752	14.63412825	14.54339545	15.45442076	15.17401226	15.50145653	15.51768818	15.29125602	15.58920773	15.68182079	15.51241985	15.68812525	16.01050766	15.61584287	15.39185971	15.60282336	15.7274956	15.54381407	16.2080639	15.33222611	15.53158797	14.56723817	14.98540434	15.34009622	15.15613081
WBP4	15.45118638	15.5065619	15.62673139	15.37832259	15.32301399	15.2287257	15.25002285	15.1780448	15.26048353	15.30602917	15.46343505	15.36567419	15.57084456	15.379467	15.54087507	15.43017531	15.50234226	15.34188611	15.03564644	14.82498222	15.22001296	14.91692578	15.00350674	15.36240953	14.93844993	14.93699404	15.38714067	15.20768108	15.51026524	15.28645814
ITM2A	15.3939733	15.45831926	15.8065477	15.44532147	14.79778032	15.08124113	15.25941145	15.19526117	15.01583761	15.05785884	14.84745283	15.18210056	14.89995857	15.4958767	15.55823985	15.12278044	15.28238333	15.582027	15.41269149	15.34596346	15.56127443	15.48431011	15.15368595	15.54500351	15.41800804	15.61198073	15.51810804	14.98251418	15.52355809	15.41407209
HNRNPH1	15.19596043	15.03007438	15.15391605	15.1607767	15.09673277	15.08122709	15.17986997	15.16917358	14.98056612	14.75367466	15.11440376	14.95213018	14.93280247	15.15905881	15.22757091	14.9112007	14.99216945	15.26191105	15.31501746	15.02932301	15.5766472	15.36140644	15.49847658	15.45789498	15.35809666	15.39566428	15.49051432	15.27250929	15.19196478	15.24117755
PABPC1	14.70266525	14.7472267	14.58261976	14.90925436	15.30908689	15.50691235	15.10636452	15.26868956	15.47819688	15.60573407	15.52622268	15.18093251	15.29369058	14.69699561	14.83097768	15.02881046	15.03673059	14.72366764	14.99591483	14.71201209	15.40826505	14.6156312	15.1846791	15.18213109	15.05929008	14.94221644	15.15142847	15.46994721	15.3038687	15.21986853
GGH	15.16395746	14.95170365	15.39785091	14.89343971	15.06850424	15.47672966	15.29520456	15.28751298	15.02700888	14.82341755	14.51501422	14.84878072	14.39464627	15.33108314	14.97679826	15.07094662	14.98410713	15.18158856	15.1916007	14.93953032	15.09377171	15.24962916	15.09569333	15.23101224	15.15591649	15.62547704	15.52017198	15.06501724	15.13598416	15.24889302
SLC4A1	15.03548774	15.1323679	14.80498183	15.4784734	15.13128922	14.97344642	14.96436856	14.88716455	15.13692546	15.64151544	15.69676442	15.30973864	15.32987095	14.88741063	15.16552264	14.92976719	14.99437224	15.00470419	14.88493647	14.90618918	15.50824011	14.49376669	15.01892882	15.10817782	14.63128049	15.0436766	15.22984496	15.82487651	15.11801344	15.17259613
OAZ1	15.08220058	15.17519251	15.59237259	15.27232631	15.07989064	15.26041423	15.10046776	15.36271417	14.97516463	14.9352199	14.77126865	14.24518235	14.57176457	15.1470373	15.29487832	15.19895968	15.01549422	15.0570728	14.77174719	15.10554697	15.17512854	15.32580235	15.39483391	15.46053241	15.4746643	15.05052983	15.02806611	14.9600024	15.4613267	15.08588057
RNF10	14.8759755	15.18111103	15.12202148	15.37576543	15.47824291	15.33776418	15.27565259	15.41887306	14.63756337	14.95749919	15.03765956	14.92275727	14.80243966	15.12016774	15.39062808	15.11671616	15.15531393	14.98901814	14.89921613	14.74638223	15.28932311	14.84938701	14.97594316	15.11484228	14.93286971	14.91206384	15.0535891	14.8760805	15.11690021	15.10638006
MXI1	15.07899017	15.03458285	15.14128236	15.02912246	14.99111499	15.04956339	14.9756768	15.04151919	14.71964399	15.001091	14.98785835	14.99010479	14.44353887	15.07580477	14.97401838	14.86018269	14.93988209	15.03085335	15.01949961	14.84724548	15.57173223	15.43839875	15.31408874	15.32009237	15.18550432	15.32621527	15.2041182	15.15462743	15.13941455	15.0476175
TPT1	14.79270035	14.96103832	14.87580642	14.77576316	14.63196694	14.97102408	14.92314783	15.05708099	15.25035945	14.80131542	14.76976516	15.16967081	14.72478214	14.85788314	14.81764269	14.7084437	14.85320192	15.11860027	15.11197044	15.05217762	14.93479787	15.27281833	15.21958755	15.30016382	15.29090646	15.67550637	15.54362805	14.6170106	15.24693578	14.76123583
SPTB	14.831323	14.94339321	14.8604122	15.19831709	15.14272357	14.89869149	14.75006687	14.69601091	14.95691602	15.34328214	15.45775901	15.19635227	15.16908803	14.81917052	14.9329819	14.91334804	14.99549393	14.87167847	14.92466664	14.768256	15.24103064	14.02767709	14.77453898	14.56910888	14.64309684	14.59853405	14.98466181	15.26716159	14.98117854	15.04250754
BACH1	14.89678915	14.93031875	14.90657732	14.59560221	14.87638797	14.96833962	15.1478138	15.06731332	14.9639179	15.01910383	15.00437932	14.78394321	14.71633789	14.86731911	15.05506405	14.96471364	14.98614864	15.15647227	14.51614065	14.71665641	15.08340187	15.02940046	14.69418168	15.33482937	14.72354773	14.99723799	14.89973407	14.90817027	15.21008722	15.09145812
EPAS1	14.74659626	14.59870525	14.5521481	14.7775996	15.07962229	15.13589491	15.1776832	14.52540502	14.37419858	14.47449146	14.61085333	14.76764419	14.91198138	14.54851409	14.61985763	14.49694334	14.64375649	14.16762779	14.26755469	14.31796586	15.41891383	15.30880439	15.54920096	15.53459942	14.87659052	14.69284341	15.43137953	15.41432331	14.89003642	14.38576688
ISCA1	14.6220446	14.78835962	14.99107316	14.53283672	15.04081557	15.30586228	14.94082714	15.2406034	14.63335822	14.61563965	14.59545295	14.22280611	14.2128496	14.80679251	14.63077113	14.96083714	14.60905746	14.39133429	14.43654672	14.50158718	14.82489644	14.91604379	14.92188709	15.02142571	15.10593473	14.97100304	14.6564169	14.63689586	14.81015534	14.84373782
EPB42	14.42949388	14.84464312	14.77807372	14.76346016	14.63994864	14.87965589	15.02928199	14.96092741	14.44315591	15.00132844	15.1558739	14.59048308	14.36362558	14.68773594	14.89562913	15.00576305	14.95827509	14.61055916	14.46059881	14.49515081	14.4303568	14.57367964	14.92971279	14.68660073	14.72888404	14.94728566	14.84664773	15.05071345	14.60184427	14.78519073
LOC102064584	14.63016622	14.51636974	14.94263373	14.63850688	14.62067359	14.77643114	14.66652446	14.7191779	14.58813753	15.01279741	15.06287898	14.94925167	14.64891665	14.59303903	14.9144844	14.46687444	14.57661992	14.52192753	14.59002849	14.56453631	14.97426324	14.6777735	14.78376451	14.57419734	14.83652539	15.09077663	14.85701982	15.22308169	14.73741006	14.72242044
DYRK3	14.57904731	14.78562389	14.94251996	14.42526819	14.5814091	14.6519257	14.75499746	14.79231605	14.702141	14.51624016	14.6515968	14.47374819	14.56431546	14.63243924	14.96972687	14.67499312	15.02202928	14.7316891	14.66753451	14.48219128	14.80799096	14.74553667	15.1375412	14.94529804	14.90968982	14.60252047	14.64500942	14.4693738	14.88530417	14.41577897
LARP1B	14.53952815	14.46512324	14.64994332	14.69622692	14.77548671	14.48770929	14.5796431	14.77158572	14.87614251	14.62937707	14.6462436	14.38104053	14.67391282	14.52076273	14.42119323	14.50185309	14.56003601	14.87558213	14.62692545	14.68797241	14.91308329	14.8161545	14.66981229	14.94524424	14.52614567	14.80092497	15.20306263	14.85249334	14.82121897	14.74515671
EIF5	14.35923276	14.68501756	14.52785999	14.89127396	14.71572412	15.01110079	14.68287198	14.82680581	14.21052807	14.61698314	14.56798231	14.56855853	14.37842661	14.4487723	14.63795437	14.25020316	14.56695948	14.64048312	14.58085695	14.47498246	14.75777266	14.64520485	14.77340987	14.8029804	14.85319174	14.85381857	14.86829482	14.70028613	14.66251874	14.63473367
PPP1CB	14.64058944	14.65500518	14.90178682	14.49383586	14.60646248	14.79951621	14.78812473	14.91197048	14.61781333	14.49891204	14.49579677	14.57319575	14.34096099	14.69181752	14.66977483	14.52010195	14.47239621	14.61759916	14.54312976	14.44825872	14.60521243	14.74812703	14.61533539	14.82957279	14.64165722	14.82831949	14.90515321	14.6446548	14.83236797	14.61179145
PHF3	14.72963558	14.50906015	14.66491599	14.74538022	14.77965591	14.43472453	14.75191159	14.66978215	14.81576616	14.64445522	14.70344351	14.63603055	14.59826729	14.71521702	14.59936803	14.73855845	14.94274773	14.92495111	14.58557394	14.28891732	14.58630869	14.41860754	14.34309016	14.83289172	13.97058381	14.3788022	14.8953405	14.55565545	14.85841291	14.90449705
FBXO32	14.71772273	14.55715519	14.78652862	14.69277077	14.43874407	14.37386338	14.70368055	14.28320943	14.77816934	14.65410171	14.79614354	14.84558993	14.64393099	14.67360897	14.73539549	14.67030825	15.03475946	14.81514926	14.63473204	14.44043128	14.74479058	14.56832548	14.38168746	14.88565472	14.19580562	14.41000687	15.05308148	14.25685408	14.70555058	14.78361243
LOC102074769	14.41069241	14.60759421	14.66808465	14.610046	14.82335078	14.58380271	14.92734537	14.52330353	14.58116812	14.49397089	14.5479744	14.50737489	14.57863323	14.46858806	14.79122897	14.99429826	14.60108705	14.39973758	14.22140375	14.2174325	14.55567425	14.69135407	14.86105698	15.07964009	14.29457517	14.44226778	14.76855095	14.59447219	14.68466476	14.58913575
ARRDC2	14.71045304	14.76108998	14.69986544	14.97261679	14.64593023	14.1101441	14.82539379	14.43447284	14.41073983	14.21122748	14.41521124	14.70103083	14.4221047	14.51162563	14.7206783	14.08062049	14.4888488	14.48961005	14.81011859	14.64697566	15.05550756	14.79039709	14.77786472	14.9337928	14.69785293	14.5886918	14.78195061	14.5915638	14.57959169	14.70590032
DDX5	14.64694084	14.72016057	14.88808731	14.58637717	14.49394671	14.56725985	14.47993106	14.6426672	14.52941317	14.41198468	14.45583996	14.48312922	14.71965	14.63359706	14.64321343	14.69276685	14.60074691	14.55461244	14.5051103	14.55254221	14.69834887	14.45049691	14.76485644	14.58279984	14.37419199	14.55805204	14.9532399	14.68730067	14.66746954	14.63345978
LOC102069048	14.38931843	14.45962565	14.67529147	14.22523529	14.29712308	14.41888203	14.05741422	14.47365443	14.98863064	14.98877002	14.66209662	14.78245507	14.59641813	14.45867791	14.54226177	14.62499797	14.80011998	13.74730701	14.17496355	14.07689445	14.72442854	14.4441208	14.9409198	14.52486459	15.06632041	15.06248655	14.63794433	14.57157607	14.67003346	14.66549386
NARF	14.86674441	14.92472023	14.17894834	14.7351787	14.70836021	14.99848973	14.59394501	14.5734035	14.0405672	13.97198297	14.81464375	13.73971552	13.86619163	14.28608915	14.35956516	14.3396326	14.35549007	13.34123048	13.4698019	14.27323956	14.44021652	15.03847929	15.27089595	15.10124101	14.80039356	14.381655	14.63481635	14.99744021	14.61116407	14.17311633
SAT1	14.70309307	14.44244065	15.11693898	14.53410468	14.4153433	13.77442921	14.21463294	14.61727677	14.58894431	14.05948932	14.32459107	14.7502667	14.07553078	14.6561175	14.81005607	13.98939893	14.73192013	14.77857837	15.14573096	14.88219536	15.05130553	14.60575861	14.19654368	14.61758392	14.61030039	14.91815413	14.92432446	14.18827174	14.3889387	14.74279577
AQP3	14.36465142	14.74617992	14.87216738	14.54036774	14.69085058	14.69644828	14.52704264	14.73423048	14.53038268	14.58533957	14.66410898	14.48040993	14.13110874	14.50158502	14.63006496	14.583915	14.34550945	14.39098014	14.6370658	14.32752016	14.32746674	14.27534238	14.48365878	14.47326272	14.55800234	14.56197628	14.67094509	14.30144026	14.66127838	14.50247434
KIAA1671	14.6201203	14.53110668	14.49821044	14.55191897	14.31756713	14.44132378	14.47323753	14.5649738	14.39585125	14.26066188	14.49568653	14.48779696	14.20386482	14.60744952	14.44844612	14.09014323	14.32176584	14.87841454	14.57481409	14.61340881	14.58082352	14.56557844	14.48407296	14.95109682	14.5766334	15.11613446	14.85451222	14.65710099	14.58423086	14.56989713
LOC102070517	14.51342152	14.37758931	14.34429584	14.33073246	14.29801533	14.59529053	14.34916213	14.45316925	14.50180121	14.30634601	14.29385581	14.23321142	14.03010809	14.906162	14.54263706	14.4254115	14.55518729	14.89224356	14.53910384	14.54745584	14.66073506	14.90980547	14.3963578	15.03124201	14.65012001	14.88393717	14.73481352	14.53056612	14.56864073	14.5495545
NT5C3A	14.25833761	14.18535084	14.76822153	14.0396794	14.65666858	14.8547104	14.57097081	14.61455642	14.4996247	14.13443272	14.24406314	13.82931878	13.685636	14.21559216	14.18093303	14.27923414	14.2432375	13.82213914	13.81676733	14.2942233	14.8660108	14.94789221	14.66768684	14.67665404	14.79896436	14.90921595	15.20615678	14.6850699	14.95135498	14.2867365
USP15	14.61949718	14.50944579	14.74198576	14.61187709	14.44094641	14.42974969	14.67316991	14.68444855	13.64715542	14.41834086	14.44297655	14.60860859	14.4455946	14.61248221	14.61978649	14.38541439	14.43955136	14.56914823	14.39670087	14.13150952	14.18906354	14.70928376	14.40243277	14.80464204	14.00761753	14.6991863	14.75074578	14.61562306	14.7438246	14.52308566
TXNDC9	14.5336471	14.18341871	14.51468105	14.25388153	14.29107821	14.46740153	14.42780234	14.30176105	13.96704614	14.01972413	13.71689596	14.00987652	13.836897	14.5963418	14.22331269	14.25484927	14.36032065	14.8965911	14.54568008	14.58407649	15.02050622	14.95143574	14.55142708	15.13323674	14.59066366	15.03649601	14.78477561	14.60132334	14.39354275	14.66876213
TRIP12	14.76079349	14.49370534	14.35176901	14.44998162	14.35610017	14.23683575	14.53748606	14.36090385	14.48869261	14.20704761	14.2005612	14.58165879	14.45239009	14.60200493	14.32803976	14.43661994	14.72001585	14.8812414	14.46309679	14.4190243	14.56458068	14.66860945	13.96839008	14.97363965	14.09654498	14.29217826	14.76712317	14.54985531	14.52367124	14.52886384
KIAA0232	14.4521951	14.31657701	14.45427802	14.16508697	14.55204936	14.68559353	14.67227508	14.67429572	14.22967568	14.35335855	14.18799449	14.26516073	14.28683084	14.6297985	14.33351558	14.67036346	14.61816093	14.57414831	14.19028436	14.05188554	14.58463859	14.42943031	14.1365105	14.67347475	14.1468476	14.23308819	14.55256088	14.34542233	14.64688886	14.1397833
FXR1	14.49494813	14.38290289	14.62293539	14.45081308	14.35701574	14.19234997	14.64414924	14.39760351	14.25859209	14.40374541	14.16537206	14.40778054	14.1917974	14.61873225	14.63577501	14.19777701	14.39205215	14.63612655	14.705607	14.21601674	14.6525321	14.47479185	14.31643684	14.77279963	14.29575246	14.78622924	14.7021124	14.3001452	14.23916446	14.41021068
LOC102064321	13.84871533	14.35089597	14.49301486	13.92698677	14.44503551	14.89835689	14.72221099	15.06621868	14.52403673	14.66668122	14.65623995	13.64868985	13.86603007	14.3593791	14.25663512	14.63572475	14.41519146	13.65109304	14.18096378	13.97872432	14.57713272	14.05312788	14.52261882	14.19139988	14.87925437	14.66653659	14.02748277	14.40054412	14.17188053	14.434552
NFE2L2	14.30833198	14.33653611	14.34653326	14.22658036	14.19382609	14.28755426	14.43477159	14.35570035	14.35404246	14.49413962	14.12845017	14.32722319	14.13707957	14.60816955	14.34130231	14.28118749	14.42342133	14.52412541	14.39535825	14.24399816	14.64357657	14.45313407	14.32894148	14.63610033	14.23908254	14.75192684	14.51817453	14.4927088	14.43767867	14.50317196
CD36	14.22840932	13.71960611	13.70764433	13.62476602	14.1425401	14.64261419	14.21723369	14.26822905	14.0418369	14.43800341	14.58678536	13.14321425	13.97895678	14.12839065	14.38423169	14.94991809	14.93853685	14.95702924	14.22188221	14.39768932	14.84015102	14.82401233	14.74166151	14.90459408	14.49008838	14.04519138	13.59380717	13.95157464	14.39377257	13.94678781
SPTSSA	14.30783982	13.89620192	14.29354948	13.82638947	14.39057626	14.40286363	14.48257578	14.65708174	14.23301444	13.8205436	14.07706509	13.77379143	13.93965472	14.5963418	14.08906314	14.33064863	14.11445676	14.60042455	14.24112776	14.47061481	14.57390392	14.84496566	14.37097792	14.64075898	14.46942835	14.67672806	14.64858072	14.37473391	14.93233791	13.86936063
LOC102067427	14.54723315	14.52859753	14.69602371	14.56237271	14.07212888	13.84369099	14.20520211	14.32299625	14.43496461	13.99553464	14.04352322	14.28058314	13.84117725	14.14445386	14.67107985	14.03787165	14.38732683	14.57208788	13.9584435	14.46045583	14.67461789	14.75214116	14.35234528	15.08047313	14.17306548	14.44531503	14.78689073	14.38678194	14.64196355	14.42390712
NADK2	14.03203001	14.10852074	14.08960631	14.13308953	14.41953379	14.47731381	14.68892233	14.61401173	14.32297185	14.43472534	14.34987551	14.13730831	13.67635998	14.5688315	14.06428925	14.30598789	14.2259914	14.08815296	14.48166172	13.70108038	14.58750997	14.25448301	14.15873307	14.51540126	14.60080651	14.4930315	14.24829211	13.70641143	14.12170487	14.5149802
MAPK14	14.29675686	14.30373856	14.53036027	14.60718026	14.37666319	14.26733719	14.39218626	14.54967507	13.95881169	13.96793905	14.14745031	14.21727135	14.23115488	14.40393889	14.55019695	14.36209003	14.40327817	14.43328249	14.14390918	14.25100049	14.27101555	14.1072786	14.04739726	14.47251628	14.16943067	14.41428976	14.66134422	14.32900641	14.26678001	14.00918094
SERINC3	14.17026359	14.12683395	14.72621048	14.03157957	13.94554857	14.26513916	14.62740871	13.76536512	14.24841538	14.03781596	14.15158437	14.07545999	14.06360418	14.45853273	13.85757906	14.0987013	14.13221743	14.32569893	14.26236991	14.33213613	14.49002859	14.66598875	14.78930516	14.83120409	14.75232271	14.27308276	14.43364164	14.32593403	14.3839729	14.33115473
VASH1	14.05701289	14.32053824	14.06190796	14.43001136	14.37138177	14.22712428	14.37261789	14.19545928	14.34010289	14.54372416	14.60278991	14.29627398	14.35375	14.32690228	14.4153033	14.48324475	14.40717376	14.63235617	14.24230739	13.88590177	14.68388265	14.13103671	13.88323491	14.44978988	13.50311073	14.07106829	14.45016636	14.27289706	14.10551993	14.32584098
VIM	14.03203001	14.41997021	14.45866036	14.19341248	14.4076955	14.75314691	14.2999845	14.479796	14.20268378	14.11415711	14.02018436	13.64745006	13.70039093	14.0849421	14.21664892	13.99134469	14.0315854	13.96479477	13.96436494	14.12771024	14.23544027	14.26698867	14.54667649	14.30870685	14.4708767	14.3965567	14.71124864	14.41646903	14.54441758	14.12663892
TSPAN5	13.93665784	13.99743792	14.15969772	14.20399711	14.42371214	14.19099762	14.47299575	14.35455958	14.43717189	14.32733162	14.44987786	14.44614121	14.32141507	14.40046664	14.33862496	14.38117089	14.42258762	14.62983709	14.40900873	13.94763433	14.11380089	13.79610618	13.84880767	14.24605716	13.97254823	14.14945511	14.38687246	13.89779302	14.24630898	14.52600625
MBNL1	14.07108511	14.17167378	14.24686179	14.26381486	14.50805519	14.39732654	14.34863507	14.24537481	14.02377497	13.91800366	14.45033298	14.30923245	14.40591472	14.16808506	13.96854891	14.13283546	13.9791629	13.89177926	14.08253297	14.0940327	14.39336245	14.32801453	14.3328558	14.44256618	14.19342134	14.09818427	14.31879087	14.18733803	14.12433863	14.30545501
