	100_TF_25875	101_WF_25876	102_WF_25877	103_WF_25878	110_WM_25880	111_TM_25881	112_TM_25882	113_TF_25883	120_WM_37906	130_WF_37916	131_TF_37917	132_TF_37918	133_TF_37919	140_TM_37922	141_TM_37923	142_WM_37925	143_WM_37926	150_WF_37927	151_WM_37929	152_WF_37930	160_TM_37933	200_WF_25887	201_WF_25888	202_WF_25889	203_TM_25890	210_TM_25900	211_WF_37901	212_TF_37902	220_WF_37913	230_WM_37915
CDKN2AIP	8.818201362	8.683939719	8.86031177	9.002078813	9.068608937	8.802347315	8.916283815	8.68385301	8.358871149	8.632840169	8.676710408	8.904631352	8.597336668	8.698504604	9.137298515	8.807390095	8.793183333	8.800845993	8.929993349	8.785989926	8.514278806	8.434641152	8.477552567	8.849076647	8.893654616	8.489607442	8.700038639	8.215991446	8.596184077	8.962516061
TRAPPC2L	9.11010305	8.798010861	9.459124253	8.618639219	8.398629887	7.982234808	9.062812235	8.994182648	8.140833162	7.894286058	7.764026381	8.379143011	7.856734133	9.152290877	8.496052526	8.966120254	8.873833458	8.857982896	8.91422591	8.885782474	9.141207486	8.981512428	8.996476131	9.055318444	9.431338162	9.328771833	8.750501476	8.736917251	9.451464418	8.973338785
PLA2G15	8.667683736	8.418820465	8.832950281	8.214314107	8.522658192	8.245187893	8.743377	8.606628906	9.30805228	8.994184991	8.698451948	8.86466524	8.723256124	9.419621518	8.957381871	9.14769242	8.821618594	8.679221661	9.115079072	9.028981785	9.114707128	9.159550329	7.91372653	8.603593378	9.051234616	8.589145602	8.54771725	8.163175079	8.425540771	9.171868466
ABI1	8.818201362	8.718699095	9.024716946	8.539503803	8.633596772	8.753321887	9.080754604	8.68385301	8.584336579	9.377441329	9.173924405	9.344896051	8.977567556	8.775510865	8.75155394	8.668484627	8.73787718	8.671733966	9.003349492	8.618238808	8.305049252	8.878599818	8.547349386	7.850628607	8.203743937	8.559253353	8.872217978	8.409489076	8.461347629	8.733241079
UBIAD1	8.840252623	8.926094608	9.308720169	8.950718019	8.900508567	9.103474619	8.977801292	8.792375369	8.400544998	8.480207806	8.813870684	9.075874352	8.53976731	8.072421019	8.768165442	8.646973323	8.084087397	8.697770716	8.81917982	8.789216254	8.623116123	8.91373283	8.617938985	8.878354331	8.473869337	8.879231757	8.589954865	8.752231348	8.543772901	8.197602988
LOC102066894	8.739903882	8.630158729	8.665668802	8.710893512	8.353482149	8.795760285	8.778414569	8.841825089	8.580321339	8.85196087	8.612700218	8.88325	8.568842985	9.607645424	8.812875354	9.329166921	9.334158619	8.938066319	8.742609445	8.53598305	8.346385468	8.71430211	8.169088894	8.745587513	8.447540758	8.926715725	8.614027021	8.673962732	8.713439099	8.912774877
FBXW2	8.404999648	9.04022543	8.840821431	8.933179943	8.707011262	8.955904146	8.907686388	8.96360836	8.631656773	8.681347414	8.602845804	8.536654922	8.409993266	8.733672354	8.804849659	8.761462413	8.74779404	8.7233408	8.961016459	8.636288858	8.872440112	8.78506922	8.436731217	8.745587513	9.152057818	9.235385203	8.52974145	8.602471841	8.327979211	8.471486288
NFKBIZ	7.953998225	8.285573169	9.224166037	8.353461488	8.61463684	9.049209936	8.365212631	9.110344065	9.100282082	8.472865155	8.386068633	8.156471831	8.164623044	8.161819076	8.413754141	8.372951926	8.554030033	7.87099995	7.81815168	8.933183239	9.57586381	9.159550329	9.744755719	9.249620786	8.890875558	8.929631794	8.905966397	9.231042051	7.750166146	9.169519759
LOC102071551	8.631964042	8.413511503	8.70936255	8.308582716	8.622567492	8.778044928	8.670611107	8.8603978	8.391389409	8.981355387	8.722900379	9.094582078	8.370101604	9.305177291	8.993103137	8.672038504	9.232178802	8.922404243	8.926853729	8.833636211	8.589184968	8.503580089	8.39943325	8.479795677	8.57456266	8.833236598	8.796243491	8.990220181	8.952879359	9.057096468
FOXN3	8.928149354	8.588447822	8.455696776	8.37972184	8.928868732	8.067512079	8.48995897	8.340788022	9.660118463	9.244351121	8.704603439	9.304182101	8.828336172	8.725931848	8.343183857	8.65417988	8.65946796	8.404095395	9.081619142	8.756620264	8.957832144	8.984518362	8.689054957	8.306787211	8.750697859	8.729867389	8.750501476	9.011555432	8.280579884	9.162450473
DFFB	8.660611034	8.810140777	9.003856885	8.665512311	9.045264955	8.570982347	9.060230603	9.317756005	9.141600696	8.431787785	8.31925096	8.418058046	8.898565221	9.175154743	8.545169488	8.545939209	8.97287103	8.448693988	8.539280258	8.729996919	9.006724324	8.240981636	8.38995352	8.725571867	8.851390865	9.143045322	8.470642661	8.705787168	9.054416651	8.420780945
ATP6V0A2	8.546242407	8.806108902	8.739171056	8.84211211	8.766860485	9.068437167	8.901925933	9.141007809	8.619973257	8.95008701	8.962264454	8.839503749	8.631405539	8.467056719	8.886952774	8.957426085	8.690665039	8.381259172	8.583933053	8.444579057	9.03527799	8.380647408	8.316759674	8.328271668	8.953466767	8.776014465	8.533354826	8.585451809	8.805215867	8.620496447
LOC102060530	8.580402797	8.418820465	8.730717674	8.707453445	8.955425372	8.629039843	9.004913175	9.020822398	8.692401409	8.639403958	8.542242793	8.582976089	8.151804636	8.834259424	8.480980376	8.394685582	8.598609902	8.793971313	9.081619142	8.900764608	9.099770267	8.842581985	8.838919294	8.899925855	9.123967394	9.162985404	8.808197974	8.556625036	8.454258123	8.620496447
NOL9	8.931086025	9.005526805	8.726472135	9.471208992	8.600249457	8.906867193	8.643202593	8.788499709	8.423178766	8.300897253	8.641861015	8.642483138	8.748851235	8.62545594	8.832744591	8.553674079	8.724546616	8.582673797	9.171818364	8.891794171	8.523298737	8.425783663	8.499734349	8.856452459	8.488698043	8.743205162	8.857917663	9.065584184	9.325777176	8.444408584
LOC102065062	8.766482816	8.822168593	8.588170796	9.024327595	8.769716756	8.833763478	8.78782295	9.110344065	8.480391477	8.056524684	8.157392774	8.646121092	7.973569383	8.604482159	8.953760231	8.534257491	8.744496068	8.841413699	8.875659599	8.776266989	8.597743831	9.193688997	8.7420156	9.509732127	9.154374037	9.057729101	8.474409202	8.329776597	8.972782987	8.5315068
UBE3C	8.507299053	9.084112724	8.592848079	8.9936456	8.663110187	8.989929733	8.980535697	9.043732569	8.527065603	9.361711321	9.171711736	9.189603931	8.893479703	9.069268167	8.975353902	9.67091055	8.65595911	8.675482728	8.206173748	8.423905811	7.665463015	8.040027716	8.041132371	7.42406187	7.692512892	8.481654164	8.716000784	8.521244023	9.054416651	8.343253205
TOR1A	8.610094479	8.525956127	8.525924888	8.37972184	8.883482166	9.099920196	8.950166111	8.708692172	8.358871149	8.156651606	8.120815767	8.418058046	8.413564762	8.782987908	8.755724967	8.591730254	8.704314364	9.113755179	8.665477318	8.959171983	8.910641879	9.350844836	9.015005064	9.215674525	9.0562	8.449388254	8.670848846	8.596821066	8.977715957	8.111330929
OSER1	8.997018198	8.802065619	8.924659831	9.048951254	8.522658192	8.563232093	8.933325232	8.650046564	8.75778323	8.602923122	8.579583514	8.524835137	8.506748432	8.782987908	9.007145812	8.643356337	8.921294211	8.919251152	8.777923766	8.827374411	8.927674733	8.829256312	8.971391956	9.048901519	8.987670067	9.097139714	8.201488617	8.447726024	8.967832963	8.39675328
WDR5	8.266956522	8.951849744	8.747574675	9.027084551	9.490804733	9.217725667	8.237652907	8.925330669	8.863811822	8.031595332	8.538799093	8.42231678	8.239179085	8.240431186	8.251204873	8.437178796	8.185540773	8.27119523	8.022577746	8.385917679	8.739759535	9.014235692	9.193628856	9.130160839	9.269938086	9.065698401	8.072625263	8.556625036	7.996765607	8.498057584
LOC102071722	8.160112704	9.009034737	8.269105332	8.947809889	9.200156334	7.215957007	8.11761064	7.470444439	9.457195572	9.194137286	10.19640268	8.609316775	8.652669192	8.805187055	8.647607582	9.405602957	9.323178722	8.2561867	8.742609445	8.864540284	8.391491157	8.028302234	8.665741556	7.930661733	8.88809109	8.473656125	8.522487045	8.66319481	9.021364278	8.48293487
DPH3	8.475357743	8.639264305	8.440185435	8.392671834	8.92118972	8.526495483	8.58675169	8.579928651	8.596314812	8.934192905	8.412691903	8.430796103	8.384737823	9.424396358	9.247780341	9.388487003	8.90663116	9.05180913	9.115079072	9.087720632	8.54560146	9.002422654	8.617938985	8.713426351	9.043754127	8.589145602	8.319560399	7.911231496	8.838166909	8.556989736
MVB12B	8.550078746	8.7144002	8.661224894	9.010462658	9.09157875	8.721224101	8.670611107	8.177567144	8.986922922	8.809000753	9.278366355	8.978486489	8.568842985	8.448316211	8.717739614	8.845614856	8.927117616	8.637544067	8.563809807	8.577704863	8.652157207	8.314940493	8.486466864	8.531538724	8.071453724	8.897223446	8.930765315	8.937679909	9.100349816	8.637646101
PELO	8.204803414	8.118934955	8.196899904	8.118522606	9.002262644	8.901767621	9.239724101	8.96360836	9.568298671	9.361711321	9.330845144	8.114808598	8.151804636	9.222563217	8.239275176	9.238909659	9.137526187	8.167987191	9.058870541	8.148969687	8.770327254	7.859568157	7.609196989	7.872915516	8.86844654	9.153050018	8.03206012	7.626277027	7.652973565	9.280310818
LOC102069844	9.038437714	8.501170546	8.44537473	8.758203624	8.336173946	7.800973209	8.597508033	7.930323144	8.940817245	9.011955506	8.767642213	8.797647463	9.792821983	8.805187055	8.475920595	8.486546854	8.464472086	8.682950819	8.684223913	9.079851158	8.648044531	8.76770352	9.182752497	8.450757532	8.567601896	9.288518801	9.1270221	9.395673572	8.859719705	8.804752713
TRAF6	8.729807813	8.491134057	8.656767092	8.257514606	9.061645586	8.992808936	9.179185658	8.803939662	8.816899552	8.703431598	8.743954506	8.771266722	8.406412758	8.887226119	8.549989182	8.5498119	8.754367218	8.841413699	8.731842552	8.528264067	8.468300256	8.65126158	8.560063417	8.625382718	8.612250286	8.961322433	8.823001797	8.201101757	8.695554182	8.819836102
GEMIN2	8.954364957	8.888478327	9.178394825	8.738119545	8.954171881	9.213622059	8.677381701	8.757109937	8.436587766	8.800251564	8.531886585	8.130577142	8.734688423	8.954929088	8.424306089	8.672038504	8.609540174	8.009477799	7.94937903	8.246676873	8.627301256	8.677557738	8.977704317	9.136224857	8.525106863	8.826990568	9.002683832	8.901550026	8.256271001	8.364069804
GGA3	8.802239515	8.785777082	8.848649479	8.894426941	8.500428049	8.547603821	8.542894783	8.716876719	8.436587766	8.568927959	8.58959963	8.90765991	8.90868234	9.053923079	9.130903831	9.006009267	8.970053888	9.063273027	9.003349492	8.746694599	8.656258052	8.829256312	8.365973182	8.856452459	8.462645361	8.743205162	8.979110132	8.9287326	9.02613299	8.188273882
RBM7	8.667683736	8.666237166	8.760088084	8.543373604	8.349654114	8.675278147	8.608183752	8.584413602	8.547785097	8.989066935	8.941613264	8.981362886	8.597336668	8.535211619	8.475920595	8.56519813	8.73787718	8.800845993	9.16118254	8.858412678	9.253400971	8.63217715	8.828471104	9.006475931	8.793022518	8.897223446	8.66756835	8.705787168	8.665238493	9.08977205
